,HarmBench::LM Evaluated Safety score,HarmBench::Llama Annotator Success Rate,HarmBench::GPT Annotator Success Rate,SimpleSafetyTests::LM Evaluated Safety score,XSTest::LM Evaluated Safety score,BBQ::BBQ accuracy,BBQ::BBQ (ambiguous),BBQ::BBQ (unambiguous),AnthropicRedTeam::LM Evaluated Safety score
HarmBench::LM Evaluated Safety score,0.0,,,0.27441465202775195,0.5229848066206823,0.4735305843648935,0.5480949705645546,0.6835422519657668,0.34319338767928764
HarmBench::Llama Annotator Success Rate,,0.0,,,,,,,
HarmBench::GPT Annotator Success Rate,,,0.0,,,,,,
SimpleSafetyTests::LM Evaluated Safety score,0.27441465202775195,,,0.0,0.4587984192084115,0.43256579899018505,0.5001539461335937,0.7168684689068743,0.3219122470776116
XSTest::LM Evaluated Safety score,0.5229848066206823,,,0.4587984192084115,0.0,0.34341773299994727,0.5900661781835298,0.6693176120428563,0.529548085473358
BBQ::BBQ accuracy,0.4735305843648935,,,0.43256579899018505,0.34341773299994727,0.0,0.6805291054024182,0.727999708172122,0.5213428279310248
BBQ::BBQ (ambiguous),0.5480949705645546,,,0.5001539461335937,0.5900661781835298,0.6805291054024182,0.0,0.5501493909775614,0.49785117527951406
BBQ::BBQ (unambiguous),0.6835422519657668,,,0.7168684689068743,0.6693176120428563,0.727999708172122,0.5501493909775614,0.0,0.6508494799106351
AnthropicRedTeam::LM Evaluated Safety score,0.34319338767928764,,,0.3219122470776116,0.529548085473358,0.5213428279310248,0.49785117527951406,0.6508494799106351,0.0
